	variants/09_03_24_PLAUG28_R2__E0000000__X00__240906_SG_WW__001.variants.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.5339143999993556), ('KP.3.1.1* (KP.3.1.1.X)', 0.4134539999999241), ('Other', 0.05263160000051519)]
lineages	KP.1.1.5 MC.19 MC.13 MC.13.2 KP.3.1.1 XEW MC.9 MC.9.3 MC.24 KP.2.3.12 MC.23 KP.2.3.13
abundances	0.49146750 0.06537993 0.06537974 0.06537956 0.06537918 0.05263160 0.04520792 0.04520648 0.04131920 0.02654860 0.02020200 0.01589830
resid	3.914778644787443
coverage	83.38962645888373
