	variants/07_22_24_PLJUL17_R2__E0000000__X00__240729_SG_WW__001.variants.tsv
summarized	[('KP.2* (KP.2.X)', 0.27636906068997813), ('KP.3.1.1* (KP.3.1.1.X)', 0.27259523746060055), ('KP.3* (KP.3.X)', 0.24526699775384034), ('BA.2.86* (BA.2.86.X)', 0.10255710888467111), ('LB.1* (LB.1.X)', 0.10207567856881099), ('JN.1.18* (JN.1.18.X)', 0.0005130329817443904), ('Other', 0.00033411027481132803), ('Omicron', 0.00014711933688401257), ('JN.1.7* (JN.1.7.X)', 9.81840177749259e-05), ('Delta', 4.3422822223369446e-05)]
lineages	MC.11 LB.1.3 KP.2.3 KP.2.1 KP.3.1.6 KP.3 KP.2.3.3 KP.2.3.2 MK.1 KP.3.3.4 KS.1 KP.1 KP.1.1.5 KP.3.3 KP.1.1.3 KP.3.3.1 KP.2.3.1 KP.2.3.4 LY.2 KP.3.1.2 LP.4 JN.1.48.3 JN.1.16.2 KP.3.2.3 KP.1.1.4 KP.3.3.3 KP.2.13 KP.3.2.5 MY.1 LB.1.7.1 LF.4.1 JN.1.39.3 MC.9 KP.3.4.1 LF.1.1.1 JN.3.2.1 LF.8 KP.2.3.5 JN.1.55.1 KP.2.19 LB.1.4.1 XDN JN.1.5 LQ.2 MQ.2 KU.2 JN.1.8.3 MK.2 KP.2.15.1 LP.3 LB.1.3.3 LF.8.1 MZ.1 KP.2.12 XED LP.2 XDU LE.2 LP.1.2 KP.4.1 XDQ.2 MC.8.1 KP.4.1.3 JN.1.65.1 KR.1.1 B.1.641 AY.3.3 KP.3.1.5 KP.2.24 MJ.1 LW.1.2 XDV.1.10 LB.1.4.3 KR.1.3 BE.9 XEC.1 MT.1 XAW JN.1.29.1 BF.1.1 MR.1 LB.1.4
abundances	0.27237863 0.10166096 0.08945700 0.07441860 0.07158315 0.07152092 0.05506284 0.05506281 0.04315241 0.03690354 0.03584780 0.03555225 0.01747460 0.01179680 0.01047691 0.00864753 0.00121014 0.00046816 0.00041361 0.00035928 0.00034985 0.00033185 0.00030604 0.00029121 0.00028033 0.00025396 0.00024969 0.00021891 0.00019482 0.00017967 0.00017601 0.00016476 0.00015948 0.00015939 0.00015755 0.00012535 0.00012338 0.00012305 0.00011997 0.00011338 0.00011123 0.00010387 0.00009960 0.00009942 0.00009818 0.00009346 0.00009132 0.00008944 0.00008621 0.00008618 0.00008443 0.00008440 0.00008210 0.00007599 0.00007464 0.00007306 0.00007100 0.00007040 0.00006500 0.00006286 0.00005964 0.00005713 0.00005662 0.00005325 0.00005086 0.00004560 0.00004342 0.00004265 0.00004119 0.00004081 0.00004078 0.00004000 0.00003909 0.00003175 0.00003117 0.00002846 0.00001567 0.00001400 0.00001313 0.00001285 0.00001221 0.00000030
resid	9.299011791389294
coverage	97.54539678293148
