	variants/10_21_24_PLOCT13_R1__E0000000__X00__241101_SG_WW_2__001.variants.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.6353469999936399), ('KP.3* (KP.3.X)', 0.1967394925437302), ('BA.2.86* (BA.2.86.X)', 0.16791350700942004)]
lineages	MC.22 KP.3.1 KP.2.10 KP.2.18 KP.3.6 JN.1.18.6 MC.10.1 MC.10.1.4 MC.10.1.6 MC.10.1.5 MC.16 MC.19 MC.19.1 MC.27 MC.15 KP.3.1.1
abundances	0.29761900 0.13962400 0.06941900 0.05711551 0.05711549 0.04137900 0.03578854 0.03578854 0.03578854 0.03578839 0.03242901 0.03242901 0.03242901 0.03242899 0.03242899 0.03242899
resid	5.192839300223716
coverage	72.70842390395613
