	variants/02_03_25_ENCJAN29_R2__E0000000__X00__250207_SG_WW__001.variants.tsv
summarized	[('XEC* (XEC.X)', 0.4407580005990816), ('KP.3* (KP.3.X)', 0.38794970917099597), ('Other', 0.10340199925792959), ('KP.3.1.1* (KP.3.1.1.X)', 0.061745899931572944), ('LP.8.1* (LP.8.1.X)', 0.006144389682927767)]
lineages	XEC.36 KP.3 KP.3.6 XEK MC.10.1.3 KP.3.3.10 XEV LP.8.1.11
abundances	0.44075800 0.17706235 0.17706235 0.08641980 0.06174590 0.03382500 0.01698220 0.00614439
resid	3.8041453769549127
coverage	83.64712570645086
