	variants/07_29_24_PLJUL23_R2__E0000000__X00__240801_SG_WW__001.variants.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.3709607999997162), ('BA.2.86* (BA.2.86.X)', 0.2944330300009304), ('Omicron', 0.24471856999923042), ('KP.3* (KP.3.X)', 0.08988759999786816)]
lineages	MC.30 XEE KP.2.10 KP.3.3.10 LY.1 MC.24 MC.24.1 KP.4 KP.4.2 KP.4.1 MC.43 KP.2.3.3 KP.2.3.2
abundances	0.29787200 0.24471857 0.22090400 0.08988760 0.04316500 0.03286889 0.03221991 0.00972690 0.00972685 0.00972685 0.00800000 0.00059341 0.00059002
resid	3.2618290086767217
coverage	79.363274587834
