	variants/02_03_25_SBFEB02_R2__E0000000__X00__250207_SG_WW__001.variants.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.41891300000002746), ('XEC* (XEC.X)', 0.3415455000000468), ('KP.3* (KP.3.X)', 0.21292300000000508), ('Other', 0.019110499999959882), ('LP.8.1* (LP.8.1.X)', 0.007507999999571469)]
lineages	XEC.29 KP.3.3 MC.10.1.4 MC.10.1.6 MC.10.1 XEC.18 KP.3.3.10 XFN NY.16
abundances	0.29646630 0.17735300 0.13970275 0.13963726 0.13957299 0.04507920 0.03557000 0.01911050 0.00750800
resid	3.4474764097631097
coverage	80.96846470253821
