	variants/11_04_24_PLOCT28_R2__E0000000__X00__241107_SG_WW_3__001.variants.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.33882899999999855), ('BA.2.86* (BA.2.86.X)', 0.32783799999982854), ('Other', 0.23514499999994382), ('Omicron', 0.09818799999998759)]
lineages	KP.2.10 XEW MC.1.4 MC.15 MC.19 MC.27 KP.3.1.1 MC.16 KP.2.3 KP.2.3.9 XDY.7 XDY XDY.4 XDY.8 XDY.2 MC.10
abundances	0.28807660 0.23514500 0.13513500 0.03711379 0.03710077 0.03709947 0.03709908 0.03709908 0.01988161 0.01987979 0.01963824 0.01963824 0.01963717 0.01963717 0.01963717 0.01818180
resid	4.2339893089066845
coverage	65.00685549944822
