	variants/11_04_24_ENCOCT29_R1__E0000000__X00__241107_SG_WW_3__001.variants.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.3123971906203816), ('KP.3* (KP.3.X)', 0.2998537546325088), ('Other', 0.2766123002052186), ('XEC* (XEC.X)', 0.06166670000253231), ('KP.3.1.1* (KP.3.1.1.X)', 0.04946999998868299)]
lineages	XEW JN.1.16.5 KP.3.6 KP.3 KP.5 KP.3.3.1 XEC.4 MC.1 KP.3.3.7
abundances	0.27661230 0.21727695 0.10825338 0.10825338 0.09512025 0.06250000 0.06166670 0.04947000 0.02084700
resid	6.000611855220805
coverage	81.98508510851754
