	variants/02_18_25_SBFEB11_R1__E0000000__X00__250308_SG_WW_1__001.variants.tsv
summarized	[('KP.3* (KP.3.X)', 0.3892740999975409), ('XEC* (XEC.X)', 0.30604299999904067), ('BA.2.86* (BA.2.86.X)', 0.15581839999896382), ('Omicron', 0.06617899999760304), ('KP.3.1.1* (KP.3.1.1.X)', 0.049285300000828224), ('LP.8.1* (LP.8.1.X)', 0.03340020000316969)]
lineages	XEC.2.7 KP.3.1 KP.2.10 KP.3.3.4 MR.2 XEC.4 XFC.2 PC.3.1 MC.19.1 KP.3.6 NY.4 LP.8.1.9 XEC.30 XEC.39 XEC.19
abundances	0.20573200 0.17455370 0.10223840 0.08496640 0.08466660 0.08173610 0.06617900 0.05358000 0.04928530 0.04508740 0.02347620 0.00992400 0.00705536 0.00705525 0.00446429
resid	9.399720572550045
coverage	93.96381633949771
